NMI,ARI,ACC,dataset,method,backbone,known_cls_ratio,labeled_ratio,cluster_num_factor,logger_file_name,seed
47.17,3.75,31.58,send_new_refined_request_provide,USNID,bert_USNID,1.0,0.1,3.0,USNID_send_new_refined_request_provide_bert_USNID_2024-11-03-20-31-22,0
47.08,9.36,38.16,send_new_refined_request_provide,USNID,bert_USNID,0.25,0.1,1.0,USNID_send_new_refined_request_provide_bert_USNID_2024-11-03-20-34-52,1
37.05,0.8,28.95,send_new_refined_request_provide,USNID,bert_USNID,0.25,0.1,2.0,USNID_send_new_refined_request_provide_bert_USNID_2024-11-03-20-37-57,1
53.1,11.76,39.47,send_new_refined_request_provide,USNID,bert_USNID,0.25,0.1,3.0,USNID_send_new_refined_request_provide_bert_USNID_2024-11-03-20-41-12,1
50.96,13.35,38.16,send_new_refined_request_provide,USNID,bert_USNID,0.5,0.1,1.0,USNID_send_new_refined_request_provide_bert_USNID_2024-11-03-20-44-24,1
48.29,8.9,35.53,send_new_refined_request_provide,USNID,bert_USNID,0.5,0.1,2.0,USNID_send_new_refined_request_provide_bert_USNID_2024-11-03-20-47-29,1
51.89,10.25,36.84,send_new_refined_request_provide,USNID,bert_USNID,0.5,0.1,3.0,USNID_send_new_refined_request_provide_bert_USNID_2024-11-03-20-50-42,1
46.95,9.79,35.53,send_new_refined_request_provide,USNID,bert_USNID,0.75,0.1,1.0,USNID_send_new_refined_request_provide_bert_USNID_2024-11-03-20-53-54,1
46.95,9.79,35.53,send_new_refined_request_provide,USNID,bert_USNID,0.75,0.1,2.0,USNID_send_new_refined_request_provide_bert_USNID_2024-11-03-20-56-59,1
48.75,9.26,36.84,send_new_refined_request_provide,USNID,bert_USNID,0.75,0.1,3.0,USNID_send_new_refined_request_provide_bert_USNID_2024-11-03-21-00-13,1
43.61,6.62,32.89,send_new_refined_request_provide,USNID,bert_USNID,1.0,0.1,1.0,USNID_send_new_refined_request_provide_bert_USNID_2024-11-03-21-03-25,1
44.84,3.84,31.58,send_new_refined_request_provide,USNID,bert_USNID,1.0,0.1,2.0,USNID_send_new_refined_request_provide_bert_USNID_2024-11-03-21-06-30,1
51.58,8.45,32.89,send_new_refined_request_provide,USNID,bert_USNID,1.0,0.1,3.0,USNID_send_new_refined_request_provide_bert_USNID_2024-11-03-21-09-48,1
23.25,17.08,47.11,feedback_meeting_problem_even,USNID,bert_USNID,0.25,0.1,1.0,USNID_feedback_meeting_problem_even_bert_USNID_2024-11-12-17-30-48,0
25.03,18.71,45.45,feedback_meeting_problem_even,USNID,bert_USNID,0.25,0.1,2.0,USNID_feedback_meeting_problem_even_bert_USNID_2024-11-12-18-02-57,0
76.34,69.64,84.57,snips,USNID,bert_USNID,0.25,0.1,1.0,USNID_snips_bert_USNID_2024-11-12-18-41-40,0
70.65,60.57,76.29,snips,USNID,bert_USNID,0.25,0.1,2.0,USNID_snips_bert_USNID_2024-11-12-19-04-23,0
70.45,56.86,68.14,snips,USNID,bert_USNID,0.25,0.1,3.0,USNID_snips_bert_USNID_2024-11-12-19-28-29,0
68.91,35.52,48.83,banking,USNID,bert_USNID,0.25,0.1,1.0,USNID_banking_bert_USNID_2024-11-12-20-03-59,0
